user_id_str,info,whether_active,user_screen_name
177603947,F,no,Not found
177649464,M,no,Not found
17782870,M,no,Not found
17804034,F,no,Not found
17810847,F,no,Not found
17812154,F,no,Not found
17824489,F,no,Not found
17833288,F,no,Not found
17836921,F,no,Not found
17857303,F,no,Not found
178821926,F,no,Not found
17893066,M,no,Not found
179054039,M,no,Not found
179958861,M,no,Not found
17996188,M,no,Not found
180014124,F,no,Not found
180035049,F,no,Not found
18017497,M,no,Not found
180331674,F,no,Not found
180361172,F,yes,VK_231
180449239,M,no,Not found
1806671,F,no,Not found
180726357,M,no,Not found
180746428,M,no,Not found
180854053,M,no,Not found
180951047,M,no,Not found
181122515,F,no,Not found
181163587,M,no,Not found
181995668,F,no,Not found
182037498,F,no,Not found
182114612,M,no,Not found
182179968,M,no,Not found
18220706,M,no,Not found
18240730,F,no,Not found
18245601,F,no,Not found
182501174,F,no,Not found
18267432,F,no,Not found
182757818,F,no,Not found
182798124,M,no,Not found
182811243,F,no,Not found
182870719,M,no,Not found
183154868,F,no,Not found
183185916,M,no,Not found
18339499,F,no,Not found
18347016,F,no,Not found
18365861,F,no,Not found
18374624,F,no,Not found
18419676,F,no,Not found
184279729,F,no,Not found
184327617,M,no,Not found
184341382,M,no,Not found
18435372,F,yes,medtek
18438538,F,no,Not found
18441486,M,no,Not found
1844190636,M,no,Not found
18450619,M,no,Not found
184531361,F,no,Not found
18462436,M,no,Not found
1849660280,M,no,Not found
18499269,M,no,Not found
18560045,M,no,Not found
1856634302,F,no,Not found
1859308328,M,no,Not found
185954790,F,no,Not found
18596959,F,no,Not found
186054723,F,no,Not found
1860643051,F,no,Not found
18628395,F,no,Not found
186287415,F,no,Not found
186396137,F,no,Not found
1865390934,M,no,Not found
186780458,F,no,Not found
1870500607,M,no,Not found
1870505275,F,no,Not found
187116378,M,no,Not found
18717602,F,no,Not found
18727375,M,no,Not found
1873374613,M,no,Not found
1873846074,F,no,Not found
1876523509,F,no,Not found
18774780,M,no,Not found
18775623,F,no,Not found
18801710,M,no,Not found
188048561,F,no,Not found
1880596854,M,no,Not found
18807516,M,no,Not found
18810267,F,no,Not found
18821935,F,no,Not found
1882693742,M,no,Not found
188397745,F,no,Not found
188509369,F,no,Not found
188531618,M,no,Not found
188550573,F,no,Not found
1885833912,M,no,Not found
1885983194,F,no,Not found
18862091,F,no,Not found
1886749518,M,no,Not found
1887321529,M,no,Not found
